名称,区域代码,人口
翁牛特旗ᠣᠩᠨᠢᠭᠤᠳᠬᠣᠰᠢᠭᠤ,150426,"333,970"
喀喇沁旗ᠬᠠᠷᠠᠴᠢᠨᠬᠣᠰᠢᠭᠤ,150428,"262,792"
宁城县ᠨᠢᠩᠴᠧᠩᠰᠢᠶᠠᠨ,150429,"484,397"
敖汉旗ᠠᠤᠬᠠᠨᠬᠣᠰᠢᠭᠤ,150430,"448,712"
通辽市ᠲᠦᠩᠯᠢᠶᠣᠤᠬᠣᠲᠠ,150500,"2,873,168"
科尔沁区ᠬᠣᠷᠴᠢᠨᠲᠣᠭᠣᠷᠢᠭ,150502,"921,808"
科尔沁左翼中旗ᠬᠣᠷᠴᠢᠨᠵᠡᠭᠦᠨᠭᠠᠷᠤᠨᠳᠤᠮᠳᠠᠳᠤᠬᠣᠰᠢᠭᠤ,150521,"399,631"
科尔沁左翼后旗ᠬᠣᠷᠴᠢᠨᠵᠡᠭᠦᠨᠭᠠᠷᠤᠨᠬᠣᠶᠢᠲᠤᠬᠣᠰᠢᠭᠤ,150522,"321,438"
开鲁县ᠺᠠᠶᠢᠯᠦᠰᠢᠶᠠᠨ,150523,"313,364"
库伦旗ᠬᠦᠷᠢᠶ᠎ᠡᠬᠣᠰᠢᠭᠤ,150524,"151,133"
奈曼旗ᠨᠠᠢᠮᠠᠨᠬᠣᠰᠢᠭᠤ,150525,"375,312"
扎鲁特旗ᠵᠠᠷᠤᠳᠬᠣᠰᠢᠭᠤ,150526,"251,806"
霍林郭勒市ᠬᠣᠣᠯᠢᠨᠭᠣᠣᠯᠬᠣᠲᠠ,150581,"138,676"
鄂尔多斯市ᠣᠷᠳᠣᠰᠬᠣᠲᠠ,150600,"2,153,638"
东胜区ᠳ᠋ᠦᠩᠱᠧᠩᠲᠣᠭᠣᠷᠢᠭ,150602,"574,242"
康巴什区ᠬᠢᠶ᠎ᠠᠪᠠᠭᠰᠢᠳᠤᠭᠤᠷᠢᠭ,150603,"118,796"
达拉特旗ᠳᠠᠯᠠᠳᠬᠣᠰᠢᠭᠤ,150621,"328,593"
准格尔旗ᠵᠡᠭᠦᠨᠭᠠᠷᠬᠣᠰᠢᠭᠤ,150622,"359,184"
鄂托克前旗ᠣᠲᠣᠭ ᠤᠨᠡᠮᠦᠨᠡᠳᠦᠬᠣᠰᠢᠭᠤ,150623,"92,724"
鄂托克旗ᠣᠲᠣᠭᠬᠣᠰᠢᠭᠤ,150624,"162,726"
杭锦旗ᠬᠠᠩᠭᠢᠨᠬᠣᠰᠢᠭᠤ,150625,"110,824"
乌审旗ᠦᠦᠰᠢᠨᠬᠣᠰᠢᠭᠤ,150626,"158,566"
伊金霍洛旗ᠡᠵᠡᠨᠬᠣᠷᠣᠭ᠎ᠠᠬᠣᠰᠢᠭᠤ,150627,"247,983"
巴彦淖尔市ᠪᠠᠶᠠᠨᠨᠠᠭᠤᠷᠬᠣᠲᠠ,150800,"1,538,715"
临河区ᠯᠢᠨᠾᠧᠲᠣᠭᠣᠷᠢᠭ,150802,"582,206"
五原县ᠦᠶᠤᠸᠠᠨᠰᠢᠶᠠᠨ,150821,"224,809"
磴口县ᠳ᠋ᠧᠩᠺᠧᠦᠰᠢᠶᠠᠨ,150822,"90,196"
乌拉特前旗ᠤᠷᠠᠳ ᠤᠨᠡᠮᠦᠨᠡᠳᠦᠬᠣᠰᠢᠭᠤ,150823,"257,826"
