名称,区域代码,人口
泽州县,140525,"414,999"
高平市,140581,"453,054"
朔州市,140600,"1,593,444"
朔城区,140602,"565,075"
平鲁区,140603,"148,212"
山阴县,140621,"199,505"
应县,140622,"243,970"
右玉县,140623,"88,212"
怀仁市,140681,"348,470"
晋中市,140700,"3,379,498"
榆次区,140702,"904,518"
太谷区,140703,"322,099"
榆社县,140721,"111,714"
左权县,140722,"144,519"
和顺县,140723,"121,617"
昔阳县,140724,"190,861"
寿阳县,140725,"200,352"
祁县,140727,"254,535"
平遥县,140728,"450,697"
灵石县,140729,"246,491"
介休市,140781,"432,095"
运城市,140800,"4,774,508"
盐湖区,140802,"928,334"
临猗县,140821,"482,559"
万荣县,140822,"361,956"
闻喜县,140823,"355,269"
稷山县,140824,"316,114"
新绛县,140825,"282,230"
绛县,140826,"226,871"
垣曲县,140827,"197,772"
夏县,140828,"287,938"
平陆县,140829,"205,080"
芮城县,140830,"342,889"
永济市,140881,"394,935"
河津市,140882,"392,561"
忻州市,140900,"2,689,668"
忻府区,140902,"577,089"
定襄县,140921,"193,997"
五台县,140922,"233,228"
代县,140923,"178,870"
繁峙县,140924,"250,409"
宁武县,140925,"136,470"
静乐县,140926,"119,277"
神池县,140927,"75,757"
五寨县,140928,"100,220"
岢岚县,140929,"69,324"
河曲县,140930,"123,505"
保德县,140931,"144,218"
偏关县,140932,"73,382"
原平市,140981,"413,922"
临汾市,141000,"3,976,481"
尧都区,141002,"959,198"
曲沃县,141021,"216,595"
翼城县,141022,"264,181"
襄汾县,141023,"425,553"
洪洞县,141024,"637,812"
古县,141025,"79,816"
安泽县,141026,"75,574"
浮山县,141027,"98,833"
吉县,141028,"87,374"
乡宁县,141029,"206,892"
大宁县,141030,"52,166"
隰县,141031,"91,394"
永和县,141032,"49,946"
蒲县,141033,"95,679"
汾西县,141034,"104,627"
侯马市,141081,"257,854"
霍州市,141082,"272,987"
吕梁市,141100,"3,398,431"
离石区,141102,"456,355"
文水县,141121,"372,580"
交城县,141122,"226,768"
兴县,141123,"183,484"
临县,141124,"394,713"
柳林县,141125,"287,969"
石楼县,141126,"96,808"
岚县,141127,"148,315"
方山县,141128,"112,692"
中阳县,141129,"138,498"
交口县,141130,"95,313"
孝义市,141181,"477,289"
汾阳市,141182,"407,647"
呼和浩特市ᠬᠥᠬᠡᠬᠣᠲᠠ,150100,"3,446,100"
新城区ᠰᠢᠨ᠎ᠡᠬᠣᠲᠠᠲᠣᠭᠣᠷᠢᠭ,150102,"699,672"
回民区ᠬᠣᠲᠣᠩᠠᠷᠠᠳ ᠤᠨᠲᠣᠭᠣᠷᠢᠭ,150103,"436,042"
玉泉区ᠢᠤᠢᠴᠢᠤᠸᠠᠨᠲᠣᠭᠣᠷᠢᠭ,150104,"660,723"
赛罕区ᠰᠠᠶᠢᠬᠠᠨᠲᠣᠭᠣᠷᠢᠭ,150105,"885,321"
土默特左旗ᠲᠦᠮᠡᠳᠵᠡᠭᠦᠨᠬᠣᠰᠢᠭᠤ,150121,"263,131"
托克托县ᠲᠣᠭᠲᠠᠬᠤᠰᠢᠶᠠᠨ,150122,"166,192"
和林格尔县ᠬᠣᠷᠢᠨᠭᠡᠷᠰᠢᠶᠠᠨ,150123,"162,476"
清水河县ᠴᠢᠩᠱᠦᠢᠾᠧᠰᠢᠶᠠᠨ,150124,"76,674"
武川县ᠦᠴᠤᠸᠠᠨᠰᠢᠶᠠᠨ,150125,"95,869"
包头市ᠪᠤᠭᠤᠲᠤᠬᠣᠲᠠ,150200,"2,709,378"
东河区ᠳᠦᠩᠾᠧᠲᠣᠭᠣᠷᠢᠭ,150202,"484,218"
昆都仑区ᠬᠥᠨᠳᠡᠯᠡᠨᠲᠣᠭᠣᠷᠢᠭ,150203,"787,681"
青山区ᠴᠢᠩᠱᠠᠨᠲᠣᠭᠣᠷᠢᠭ,150204,"535,128"
石拐区ᠰᠢᠭᠤᠶᠢᠲᠤᠲᠣᠭᠣᠷᠢᠭ,150205,"24,745"
白云鄂博矿区ᠪᠠᠶᠠᠨᠣᠪᠣᠭ᠎ᠠᠠᠭᠤᠷᠬᠠᠢ ᠶᠢᠨᠲᠣᠭᠣᠷᠢᠭ,150206,"22,681"
九原区ᠵᠢᠦᠶᠤᠸᠠᠨᠲᠣᠭᠣᠷᠢᠭ,150207,"429,317"
土默特右旗ᠲᠦᠮᠡᠳᠪᠠᠷᠠᠭᠤᠨᠬᠣᠰᠢᠭᠤ,150221,"237,421"
固阳县ᠭᠦᠶᠡᠩᠰᠢᠶᠠᠨ,150222,"118,624"
达尔罕茂明安联合旗ᠳᠠᠷᠬᠠᠨᠮᠤᠤᠮᠢᠩᠭ᠋ᠠᠨᠬᠣᠯᠪᠣᠭᠠᠲᠤᠬᠣᠰᠢᠭᠤ,150223,"69,563"
乌海市ᠦᠬᠠᠢᠬᠣᠲᠠ,150300,"556,621"
海勃湾区ᠬᠠᠶᠢᠷᠤᠪ ᠤᠨᠲᠣᠬᠣᠢᠲᠣᠭᠣᠷᠢᠭ,150302,"339,155"
海南区ᠬᠠᠶᠢᠨᠠᠨᠲᠣᠭᠣᠷᠢᠭ,150303,"94,770"
乌达区ᠤᠳᠠᠲᠣᠭᠣᠷᠢᠭ,150304,"122,696"
赤峰市ᠤᠯᠠᠭᠠᠨᠬᠠᠳᠠᠬᠣᠲᠠ,150400,"4,035,967"
红山区ᠬᠣᠩᠱᠠᠨᠲᠣᠭᠣᠷᠢᠭ,150402,"469,079"
元宝山区ᠶᠤᠸᠠᠨᠪᠣᠣᠱᠠᠨᠲᠣᠭᠣᠷᠢᠭ,150403,"284,990"
松山区ᠰᠦᠩᠱᠠᠨᠲᠣᠭᠣᠷᠢᠭ,150404,"706,312"
阿鲁科尔沁旗ᠠᠷᠤᠬᠣᠷᠴᠢᠨᠬᠣᠰᠢᠭᠤ,150421,"240,360"
巴林左旗ᠪᠠᠭᠠᠷᠢᠨᠵᠡᠭᠦᠨᠬᠣᠰᠢᠭᠤ,150422,"277,522"
巴林右旗ᠪᠠᠭᠠᠷᠢᠨᠪᠠᠷᠠᠭᠤᠨᠬᠣᠰᠢᠭᠤ,150423,"155,027"
林西县ᠯᠢᠨᠰᠢᠰᠢᠶᠠᠨ,150424,"186,663"
克什克腾旗ᠬᠡᠰᠢᠭᠲᠡᠨᠬᠣᠰᠢᠭᠤ,150425,"186,143"
